alts,rh,t,p,r28um,r50um,r74um,r98um,r122um,r156um,bd_fallv_28um,bd_fallv_50um,bd_fallv_74um,bd_fallv_98um,bd_fallv_122um,bd_fallv_156um
57,64.92635573432149,27.158594008311766,1012.9557747100876,4.780676923945568,8.536923078474251,12.634646156141905,16.732369233809553,20.8300923114772,24.92781538914485,0.0033905885340108,0.010728101992078,0.0232427992656324,0.0403928549975599,0.0618659461444186,0.090807317424496
58,64.96063634622736,27.14893575765623,1012.8434392600262,4.781801670328845,8.538931554158674,12.63761870015485,16.736305846151026,20.8349929921472,24.933680138143373,0.0033917937960566,0.0107319291966829,0.0232510154301857,0.0404070369016647,0.0618873404894855,0.0908359631136378
59,64.99491695813323,27.13927750700069,1012.7311038099648,4.782928089231363,8.5409430164846,12.64059566439722,16.740248312309838,20.83990096022245,24.93955360813508,0.0033930011520163,0.0107357630574436,0.023259245836942,0.0404212432556932,0.0619087714027365,0.0908646577130623
60,65.0291975700391,27.12961925634516,1012.6187683599034,4.784056184637021,8.542957472566131,12.643577059397886,16.744196646229643,20.8448162330614,24.94543581989315,0.0033942106076142,0.0107396035925593,0.0232674905247203,0.0404354741259007,0.0619302389825112,0.0908934013541876
61,65.06347818194496,27.11996100568962,1012.506432909842,4.785185960542958,8.54497492954102,12.646562895720722,16.74815086190042,20.84973882808012,24.95132679425982,0.0033954221685956,0.0107434508202965,0.0232757495324819,0.0404497295787842,0.0619517433275051,0.0909221941689063
62,65.09775879385083,27.110302755034084,1012.3940974597804,4.786317420959613,8.54699539457076,12.649553183964738,16.752110973358715,20.854668762752688,24.95722655214667,0.0033966358407272,0.0107473047589887,0.0232840228993313,0.0404640096810831,0.0619732845367714,0.0909510362895868
63,65.1320394057567,27.10064450437855,1012.281762009719,4.7874505699107806,8.549018874840703,12.652547934764252,16.7560769946878,20.859606054611348,24.963135114534897,0.0033978516297967,0.0107511654270374,0.0232923106645167,0.0404783144997808,0.0619948627097229,0.0909799278490764
64,65.16632001766257,27.090986253723013,1012.1694265596576,4.788585411433667,8.551045377560143,12.65554715878902,16.760048940017903,20.86455072124678,24.969052502475652,0.0033990695416133,0.0107550328429117,0.0233006128674307,0.0404926441021059,0.0620164779461328,0.0910088689807028
65,65.20060062956844,27.08132800306748,1012.0570911095962,4.789721949578949,8.553074909962431,12.658550866744411,16.764026823526386,20.86950278030837,24.974978737090343,0.0034002895820075,0.0107589070251491,0.023308929547611,0.0405069985555326,0.0620381303461374,0.0910378598182767
66,65.23488124147431,27.071669752411943,1011.9447556595348,4.790860188410833,8.555107479305082,12.661559069371537,16.768010659437987,20.87446224950444,24.980913839570885,0.0034015117568318,0.0107627879923555,0.0233172607447409,0.0405213779277829,0.062059820010237,0.0910669004960939
67,65.26916185338018,27.062011501756405,1011.8324202094732,4.792000132007115,8.557143092869872,12.66457177744742,16.77200046202497,20.879429146602515,24.986857831180064,0.0034027360719598,0.0107666757632061,0.0233256064986505,0.0405357822868269,0.062081547039298,0.0910959911489373
68,65.30344246528604,27.052353251100868,1011.720084759412,4.793141784459229,8.559181757962932,12.667589001785151,16.77599624560737,20.884403489429587,24.992810733251808,0.0034039625332872,0.0107705703564448,0.0233339668493165,0.0405502117008841,0.0621033115345541,0.0911251319120794
69,65.33772307719191,27.04269500044533,1011.6077493093504,4.794285149872322,8.561223481914885,12.67061075323404,16.779998024553198,20.889385295872348,24.998772567191505,0.0034051911467316,0.0107744717908854,0.0233423418368637,0.040564666238425,0.0621251135976087,0.0911543229212844
70,65.37200368909778,27.0330367497898,1011.495413859289,4.7954302323653,8.563268272080915,12.673637042679768,16.784005813278615,20.894374583877465,25.004743354476314,0.0034064219182323,0.0107783800854114,0.0233507315015655,0.0405791459681716,0.0621469533304359,0.0911835643128107
